Number,Holding,Ticker,Shares,Market Value,% of net assets
68,Abbott Laboratories,ABT US,12166,€1210032.00,0.45%
69,Jpmorgan Chase & Co,JPM US,9772,€1208550.00,0.45%
70,Hitachi Ltd,6501 JP,30417,€1206159.00,0.45%
71,Vivendi Se,VIV FP,41186,€1193158.00,0.44%
72,Thermo Fisher Scientific Inc,TMO US,3218,€1188507.00,0.44%
73,Daiichi Sankyo Co Ltd,4568 JP,48500,€1186940.00,0.44%
74,Koninklijke Philips Nv,PHIA NA,25989,€1185228.00,0.44%
75,Banco Bilbao Vizcaya Argentaria Sa,BBVA SM,251306,€1182143.00,0.44%
76,Booking Holdings Inc,BKNG US,635,€1180859.00,0.44%
77,National Australia Bank Ltd,NAB AU,71995,€1178701.00,0.44%
78,Accenture Plc,ACN US,5672,€1177553.00,0.44%
79,Crh Plc,CRH LN,31860,€1175012.00,0.43%
80,Westpac Banking Corp,WBC AU,73957,€1172789.00,0.43%
81,Prudential Plc,PRU LN,69296,€1162068.00,0.43%
82,Eli Lilly And Co,LLY US,6969,€1161994.00,0.43%
83,General Electric Co,GE US,111187,€1160624.00,0.43%
84,Intuit Inc,INTU US,3649,€1158164.00,0.43%
85,Facebook Inc,FB US,5557,€1157815.00,0.43%
86,Salesforce.Com Inc,CRM US,6099,€1152943.00,0.43%
87,Union Pacific Corp,UNP US,6744,€1151236.00,0.43%
88,Adidas Ag,ADS GR,3925,€1150418.00,0.43%
89,Toronto-Dominion Bank/The,TD CN,22511,€1148637.00,0.42%
90,Microsoft Corp,MSFT US,6115,€1145512.00,0.42%
91,L'Oreal Sa,OR FP,3724,€1142896.00,0.42%
92,Macquarie Group Ltd,MQG AU,12004,€1135572.00,0.42%
93,Canadian National Railway Co,CNR CN,12441,€1135453.00,0.42%
94,Linde Plc,LIN US,5619,€1135384.00,0.42%
95,Commonwealth Bank Of Australia,CBA AU,20834,€1135172.00,0.42%
96,Aia Group Ltd,1299 HK,106395,€1132577.00,0.42%
97,Volkswagen Ag,VOW3 GR,6593,€1127930.00,0.42%
98,Mitsui & Co Ltd,8031 JP,62985,€1126859.00,0.42%
99,Itochu Corp,8001 JP,45100,€1121439.00,0.41%
100,Adobe Inc,ADBE US,2979,€1118977.00,0.41%
101,Nordea Bank Abp,NDA SS,144762,€1115408.00,0.41%
102,Starbucks Corp,SBUX US,13143,€1112489.00,0.41%
103,Bank Of Nova Scotia/The,BNS CN,22474,€1111055.00,0.41%
104,Intesa Sanpaolo Spa,ISP IM,507596,€1092347.00,0.40%
105,Essilorluxottica Sa,EL FP,8091,€1091476.00,0.40%
106,Total Se,FP FP,27523,€1085920.00,0.40%
107,Oracle Corp,ORCL US,20255,€1082012.00,0.40%
108,Stryker Corp,SYK US,5361,€1077902.00,0.40%
109,Us Bancorp,USB US,25466,€1075597.00,0.40%
110,Comcast Corp,CMCSA US,25166,€1075484.00,0.40%
111,Hoya Corp,7741 JP,11000,€1073763.00,0.40%
112,American Express Co,AXP US,9526,€1068246.00,0.40%
113,Woolworths Group Ltd,WOW AU,40683,€1061461.00,0.39%
114,Dbs Group Holdings Ltd,DBS SP,63662,€1060755.00,0.39%
115,Royal Bank Of Canada,RY CN,14669,€1057978.00,0.39%
116,Lafargeholcim Ltd,LHN SW,22615,€1053543.00,0.39%
117,Nokia Oyj,NOKIA FH,303976,€1045069.00,0.39%
118,Axa Sa,CS FP,48927,€1034806.00,0.38%
119,Exxon Mobil Corp,XOM US,22668,€1034005.00,0.38%
120,Eni Spa,ENI IM,106232,€1028326.00,0.38%
121,S&P Global Inc,SPGI US,3797,€1026750.00,0.38%
122,Sumitomo Mitsui Financial Group Inc,8316 JP,34894,€1023732.00,0.38%
123,Mizuho Financial Group Inc,8411 JP,83430,€1023139.00,0.38%
124,Alcon Inc,ALC SW,17682,€1021661.00,0.38%
125,Enel Spa,ENEL IM,130193,€1020713.00,0.38%
126,Honeywell International Inc,HON US,6086,€1019594.00,0.38%
127,Mastercard Inc,MA US,3507,€1017243.00,0.38%
128,Kering Sa,KER FP,1928,€1016634.00,0.38%
129,Mitsubishi Ufj Financial Group Inc,8306 JP,232216,€1015578.00,0.38%
130,Charter Communications Inc,CHTR US,2064,€1015706.00,0.38%
131,Assicurazioni Generali Spa,G IM,64013,€1013646.00,0.37%
132,Mitsubishi Electric Corp,6503 JP,81192,€1013819.00,0.37%
133,Anheuser-Busch Inbev Sa/Nv,ABI BB,20293,€1012621.00,0.37%
134,Banco Santander Sa,SAN SM,341287,€1012087.00,0.37%
135,Allianz Se,ALV GR,5005,€1011010.00,0.37%
136,Prologis Inc,PLD US,12169,€1009338.00,0.37%
137,Vinci Sa,DG FP,11449,€1006596.00,0.37%
138,Muenchener Rueckversicherungs-Gesellsch,MUV2 GR,4095,€1003275.00,0.37%
139,Societe Generale Sa,GLE FP,47800,€999976.00,0.37%
140,Pernod Ricard Sa,RI FP,6196,€995387.00,0.37%
141,Deutsche Telekom Ag,DTE GR,66303,€992556.00,0.37%
142,Novo Nordisk A/S,NOVOB DC,16582,€987756.00,0.37%
143,Shiseido Co Ltd,4911 JP,15700,€984798.00,0.36%
144,Medtronic Plc,MDT US,10212,€984777.00,0.36%
145,Industria De Diseno Textil Sa,ITX SM,35665,€984354.00,0.36%
146,Amadeus It Group Sa,AMS SM,16700,€983964.00,0.36%
147,Vonovia Se,VNA GR,18502,€982456.00,0.36%
148,Air Liquide Sa,AI FP,7738,€981178.00,0.36%
149,Diageo Plc,DGE LN,29263,€981121.00,0.36%
150,Citigroup Inc,C US,17704,€976298.00,0.36%
151,Mitsubishi Corp,8058 JP,41525,€972446.00,0.36%
152,Chevron Corp,CVX US,11579,€969495.00,0.36%
153,Berkshire Hathaway Inc,BRK/B US,4854,€967663.00,0.36%
154,Oversea-Chinese Banking Corp Ltd,OCBC SP,140700,€964771.00,0.36%
155,Iberdrola Sa,IBE SM,93489,€962002.00,0.36%
156,Koninklijke Ahold Delhaize Nv,AD NA,43025,€958597.00,0.35%
157,Airbus Se,AIR FP,9678,€957445.00,0.35%
158,Safran Sa,SAF FP,8210,€955234.00,0.35%
159,Chubb Ltd,CB US,7074,€954504.00,0.35%
160,Toyota Motor Corp,7203 JP,15433,€952605.00,0.35%
161,Zoetis Inc,ZTS US,7414,€949070.00,0.35%
162,Zurich Insurance Group Ag,ZURN SW,2754,€945524.00,0.35%
163,Unitedhealth Group Inc,UNH US,3514,€945394.00,0.35%
164,Visa Inc,V US,5389,€942326.00,0.35%
165,Tjx Cos Inc/The,TJX US,16974,€939791.00,0.35%
166,3m Co,MMM US,6419,€938695.00,0.35%
167,Honda Motor Co Ltd,7267 JP,40169,€935743.00,0.35%
168,Reckitt Benckiser Group Plc,RB/ LN,13576,€933887.00,0.35%
169,Nextera Energy Inc,NEE US,15391,€932475.00,0.34%
170,Automatic Data Processing Inc,ADP US,6372,€914985.00,0.34%
171,Cisco Systems Inc/Delaware,CSCO US,24551,€914236.00,0.34%
172,Unicredit Spa,UCG IM,104328,€911201.00,0.34%
173,Home Depot Inc/The,HD US,4360,€910414.00,0.34%
174,Nippon Telegraph & Telephone Corp,9432 JP,42204,€905172.00,0.33%
175,Compass Group Plc,CPG LN,52869,€903402.00,0.33%
176,Intel Corp,INTC US,18229,€900713.00,0.33%
177,Vodafone Group Plc,VOD LN,624299,€900046.00,0.33%
178,Telstra Corp Ltd,TLS AU,434025,€895648.00,0.33%
179,Relx Plc,REN NA,44842,€893028.00,0.33%
180,Cvs Health Corp,CVS US,15719,€891524.00,0.33%
181,Standard Chartered Plc,STAN LN,160719,€888180.00,0.33%
182,Astrazeneca Plc,AZN LN,10951,€887519.00,0.33%
183,Swiss Re Ag,SREN SW,11246,€887097.00,0.33%
184,Walmart Inc,WMT US,8214,€886647.00,0.33%
185,Danone Sa,BN FP,15138,€885573.00,0.33%
186,Amgen Inc,AMGN US,4758,€885586.00,0.33%
187,Sap Se,SAP GR,8617,€885138.00,0.33%
188,Enbridge Inc,ENB CN,30494,€880131.00,0.33%
189,Seven & I Holdings Co Ltd,3382 JP,27403,€879270.00,0.33%
