Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
804567,Colony,Rob Grant,"Grant, Rob",,"=""0140289755""","=""9780140289756""",3,3.62,Penguin MD,Paperback,304,2001,2000,2016/06/02,2016/05/30,,,read,,,,1,,,0,,,,,
17316682,Remote: Office Not Required,David Heinemeier Hansson,"Hansson, David Heinemeier",Jason Fried,"=""0804148996""","=""9780804148993""",0,3.81,Random House Audio,Audio,256,2013,2013,,2016/06/02,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
30329099,skjulte penge,Carl Emil Arnfred,"Arnfred, Carl Emil",Chris Kjær Jessen,"=""""","=""9788771598742""",0,3.12,People´s Press,Unknown Binding,3336,2016,,,2016/06/01,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
13548763,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""0006486118""","=""9780006486114""",5,4.32,HarperVoyager,Mass Market Paperback,1184,2012,2011,2016/05/27,2016/05/03,,,read,,,,1,,,0,,,,,
62793,Spring Snow,Yukio Mishima,"Mishima, Yukio",Michael Gallagher,"=""0099282992""","=""9780099282990""",0,4.15,Vintage,Paperback,389,2000,1968,,2016/05/23,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",3,3.96,William Morrow,Hardcover,320,2006,2005,2016/05/19,2013/07/19,,,read,,,,1,,,0,,,,,
1715812,The World Beyond the Hill,Alexei Panshin,"Panshin, Alexei",Cory Panshin,"=""0874775736""","=""9780874775730""",0,4.11,Tarcher,Paperback,,1990,1978,,2016/05/16,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.16,Crown Business,Hardcover,195,2014,2014,,2016/05/10,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
11735456,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""0007447868""","=""9780007447862""",5,4.13,Harper Voyager,Paperback,852,2011,2005,2016/05/02,2016/04/03,,,read,,,,1,,,0,,,,,
110331,The Federalist Papers,Alexander Hamilton,"Hamilton, Alexander","James Madison, John Jay, Philo-Publius, Clinton Rossiter, Charles R. Kessler","=""0451528816""","=""9780451528810""",0,4.06,Signet Classics,Paperback,688,2003,1780,,2016/04/25,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
