x,y,z
14.7043963627,-10.4188075716,50.9575487700
13.6945267362,-11.6460458182,49.7931681081
12.6792604241,-12.7164236067,48.6253972305
11.6647641056,-13.6400773191,47.4710027253
10.6565425716,-14.4281966178,46.3439589267
9.6594338453,-15.0925084728,45.2555829880
8.6776230155,-15.6448485262,44.2147376468
7.7146705857,-16.0968197492,43.2280760120
6.7735514682,-16.4595331538,42.3003070078
5.8567011123,-16.7434223993,41.4344642598
4.9660658168,-16.9581219310,40.6321661812
4.1031547648,-17.1123981201,39.8938583917
3.2690918468,-17.2141228751,39.2190332467
2.4646658052,-17.2702801174,38.6064238393
1.6903776532,-17.2869966636,38.0541718352
0.9464846620,-17.2695903418,37.5599699278
0.2330404946,-17.2226294504,37.1211806452
-0.4500687086,-17.1499988725,36.7349338127
-1.1030923229,-17.0549692080,36.3982052322
-1.7263872132,-16.9402661777,36.1078791968
-2.3203934959,-16.8081383830,35.8607974047
-2.8856138567,-16.6604220006,35.6537966022
-3.4225961373,-16.4986015540,35.4837371012
-3.9319189028,-16.3238662140,35.3475240330
-4.4141796890,-16.1371613671,35.2421229532
-4.8699856376,-15.9392353816,35.1645711486
-5.2999462396,-15.7306816143,35.1119857903
-5.7046679174,-15.5119758201,35.0815698232
-6.0847501994,-15.2835091437,35.0706163468
-6.4407832509,-15.0456169320,35.0765120331
-6.7733465533,-14.7986035993,35.0967400084
-7.0830085625,-14.5427637498,35.1288824447
-7.3703271022,-14.2783998698,35.1706231999
-7.6358503635,-14.0058367962,35.2197505011
-7.8801184207,-13.7254330983,35.2741596945
-8.1036650526,-13.4375896914,35.3318561617
-8.3070197543,-13.1427559025,35.3909582693
-8.4907098977,-12.8414331067,35.4497002820
-8.6552628957,-12.5341762100,35.5064351685
-8.8012082901,-12.2215932043,35.5596371482
-8.9290797060,-11.9043429994,35.6079038592
-9.0394166721,-11.5831315759,35.6499581383
-9.1327660180,-11.2587072834,35.6846489725
-9.2096832549,-10.9318544959,35.7109520855
-9.2707334451,-10.6033868335,35.7279695243
-9.3164918820,-10.2741394934,35.7349285904
-9.3475443200,-9.9449613599,35.7311797878
-9.3644869816,-9.6167067507,35.7161940460
-9.3679261758,-9.2902272090,35.6895590103
-9.3584776359,-8.9663634322,35.6509745361
-9.3367655804,-8.6459374722,35.6002475015
-9.3034214884,-8.3297454479,35.5372858332
-9.2590826764,-8.0185507695,35.4620920365
-9.2043906584,-7.7130780637,35.3747561702
-9.1399893467,-7.4140078944,35.2754484260
-9.0665231488,-7.1219721520,35.1644114990
-8.9846349610,-6.8375504367,35.0419527287
-8.8949641152,-6.5612671267,34.9084362101
-8.7981443114,-6.2935894726,34.7642749465
-8.6948015727,-6.0349262773,34.6099231646
-8.5855522487,-5.7856275985,34.4458688754
-8.4710010837,-5.5459849343,34.2726267102
-8.3517394065,-5.3162322950,34.0907312151
-8.2283434169,-5.0965476701,33.9007305012
-8.1013726357,-4.8870551818,33.7031804645
-7.9713684827,-4.6878275604,33.4986394351
-7.8388530364,-4.4988890728,33.2876634282
-7.7043279491,-4.3202186891,33.0708018864
-7.5682735350,-4.1517535072,32.8485939662
-7.4311480508,-3.9933923050,32.6215654104
-7.2933871159,-3.8449992028,32.3902258333
-7.1554033098,-3.7064073301,32.1550665185
-7.0175859473,-3.5774224994,31.9165587323
-6.8803009766,-3.4578268142,31.6751523653
-6.7438910518,-3.3473821370,31.4312750529
-6.6086756976,-3.2458334927,31.1853315328
-6.4749516421,-3.1529122074,30.9377034335
-6.3429932153,-3.0683390047,30.6887492308
-6.2130528837,-2.9918267401,30.4388045196
-6.0853618378,-2.9230831090,30.1881824329
-5.9601306812,-2.8618129616,29.9371742586
-5.8375501665,-2.8077205812,29.6860501936
-5.7177919918,-2.7605115867,29.4350601834
-5.6010096378,-2.7198947730,29.1844348885
-5.4873392330,-2.6855836236,28.9343866545
-5.3769004521,-2.6572977352,28.6851105871
-5.2697974231,-2.6347640027,28.4367856096
-5.1661196416,-2.6177176098,28.1895755160
-5.0659428895,-2.6059029312,27.9436300676
-4.9693301461,-2.5990742217,27.6990860286
-4.8763324899,-2.5969961936,27.4560681971
-4.7869899850,-2.5994444649,27.2146904006
-4.7013325465,-2.6062058916,26.9750564519
-4.6193807843,-2.6170787976,26.7372610649
-4.5411468196,-2.6318731174,26.5013907246
-4.4666350796,-2.6504104286,26.2675245169
-4.3958430523,-2.6725239526,26.0357349049
-4.3287620063,-2.6980584889,25.8060884499
-4.2653776962,-2.7268702529,25.5786465100
-4.2056710205,-2.7588267056,25.3534658779
-4.1496186454,-2.7938063376,25.1305993718
-4.0971936057,-2.8316983915,24.9100964057
